,MagpieData minimum Number,MagpieData minimum MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData minimum MeltingT,MagpieData minimum Column,MagpieData minimum Row,MagpieData minimum CovalentRadius,MagpieData minimum Electronegativity,MagpieData minimum NsValence,MagpieData minimum NpValence,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NsUnfilled,MagpieData minimum NpUnfilled,MagpieData minimum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData minimum GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum Number,MagpieData maximum MendeleevNumber,MagpieData maximum AtomicWeight,MagpieData maximum MeltingT,MagpieData maximum Column,MagpieData maximum Row,MagpieData maximum CovalentRadius,MagpieData maximum Electronegativity,MagpieData maximum NsValence,MagpieData maximum NpValence,MagpieData maximum NdValence,MagpieData maximum NfValence,MagpieData maximum NValence,MagpieData maximum NsUnfilled,MagpieData maximum NpUnfilled,MagpieData maximum NdUnfilled,MagpieData maximum NfUnfilled,MagpieData maximum NUnfilled,MagpieData maximum GSvolume_pa,MagpieData maximum GSbandgap,MagpieData maximum SpaceGroupNumber,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,space group,density,nsites,vpa
1380,11.0,2.0,22.98976928,370.87,1.0,3.0,139.0,0.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.2433333333,0.0,64.0,53.0,96.0,126.90447,386.85,17.0,5.0,166.0,2.66,2.0,5.0,10.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,43.015,1.062,229.0,32.0,49.0,74.94711964,378.86,9.0,4.0,152.5,1.7950000000000002,1.5,2.5,5.0,0.0,9.0,0.5,0.5,0.0,0.0,1.0,36.12916666665,0.531,146.5,225,3.5723689080929475,2,34.8375610955032
1381,9.0,65.0,18.9984032,53.5,11.0,2.0,57.0,1.93,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,9.7075,0.0,15.0,79.0,93.0,196.966569,1337.33,17.0,6.0,145.0,3.98,2.0,5.0,10.0,14.0,25.0,1.0,1.0,0.0,0.0,1.0,16.7,1.97,225.0,27.0,83.83333333333333,63.47139696666667,464.3766666666667,15.0,3.1666666666666665,84.83333333333333,3.3983333333333334,1.6666666666666667,3.3333333333333335,3.3333333333333335,2.3333333333333335,10.666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,11.976666666666667,1.3133333333333332,85.0,140,6.67989501701587,12,15.778202203230274
1382,19.0,3.0,39.0983,265.8,1.0,4.0,120.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.02,0.0,64.0,78.0,95.0,195.084,2041.4,17.0,6.0,203.0,2.96,2.0,5.0,10.0,14.0,24.0,1.0,1.0,1.0,0.0,2.0,73.1066666667,1.457,229.0,36.57142857142857,64.14285714285714,84.69951428571429,539.6657142857142,11.428571428571429,4.285714285714286,146.0,2.2514285714285713,1.5714285714285714,2.857142857142857,7.0,2.0,13.428571428571429,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,1.1428571428571428,39.87904761905714,0.8325714285714286,134.14285714285714,123,3.9069292961824043,7,35.999333934940736
1383,16.0,4.0,32.065,312.46,1.0,3.0,105.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.786875,0.0,70.0,37.0,88.0,85.4678,388.36,16.0,5.0,220.0,2.58,2.0,4.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,2.0,90.7225,2.202,229.0,26.5,46.0,58.7664,350.40999999999997,8.5,4.0,162.5,1.7,1.5,2.0,0.0,0.0,3.5,0.5,1.0,0.0,0.0,1.5,58.254687499999996,1.101,149.5,71,2.5388112640796523,4,38.43684813601829
1384,19.0,3.0,39.0983,265.8,1.0,4.0,120.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.48,0.0,64.0,35.0,95.0,79.904,336.53,17.0,4.0,203.0,2.96,2.0,5.0,10.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,73.1066666667,1.457,229.0,27.0,49.0,59.501149999999996,301.16499999999996,9.0,4.0,161.5,1.89,1.5,2.5,5.0,0.0,9.0,0.5,0.5,0.0,0.0,1.0,51.29333333335,0.7285,146.5,225,2.624472422104685,2,37.64717939135026
1385,19.0,3.0,39.0983,265.8,1.0,4.0,120.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.48,0.0,64.0,35.0,95.0,79.904,336.53,17.0,4.0,203.0,2.96,2.0,5.0,10.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,73.1066666667,1.457,229.0,27.0,49.0,59.501149999999996,301.16499999999996,9.0,4.0,161.5,1.89,1.5,2.5,5.0,0.0,9.0,0.5,0.5,0.0,0.0,1.0,51.29333333335,0.7285,146.5,221,2.9890448568342385,2,33.05537013160518
1386,17.0,4.0,35.453,171.6,1.0,3.0,102.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.4975,0.0,64.0,37.0,94.0,85.4678,312.46,17.0,5.0,220.0,3.16,2.0,5.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,90.7225,2.493,229.0,27.0,49.0,60.4604,242.02999999999997,9.0,4.0,161.0,1.99,1.5,2.5,0.0,0.0,4.0,0.5,0.5,0.0,0.0,1.0,57.61,1.2465,146.5,225,2.671979177096913,2,37.573966534927536
1387,9.0,4.0,18.9984032,53.5,1.0,2.0,57.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.7075,0.0,15.0,47.0,93.0,107.8682,1234.93,17.0,5.0,220.0,3.98,2.0,5.0,10.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,90.7225,1.97,229.0,22.2,69.6,50.06624192,341.57800000000003,12.6,3.2,107.2,2.9379999999999997,1.6,3.0,2.0,0.0,6.6,0.4,0.6,0.0,0.0,1.0,27.234999999999996,1.182,99.8,140,4.756822319665981,10,17.477413499826575
1388,32.0,4.0,72.64,312.46,1.0,4.0,120.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.005,0.0,64.0,53.0,96.0,126.90447,1211.4,17.0,5.0,220.0,2.66,2.0,5.0,10.0,0.0,17.0,1.0,4.0,0.0,0.0,4.0,90.7225,1.062,229.0,45.6,74.2,107.76424200000001,536.8820000000001,13.2,4.8,151.4,2.162,1.8,3.4,8.0,0.0,13.2,0.2,1.4,0.0,0.0,1.6,48.554500000000004,0.7138,129.2,221,4.234148231147551,5,42.26274661504655
1389,35.0,75.0,79.904,265.8,13.0,4.0,120.0,1.78,2.0,1.0,10.0,0.0,13.0,0.0,1.0,1.0,24.26,0.0,64.0,49.0,95.0,114.818,429.75,17.0,5.0,142.0,2.96,2.0,5.0,10.0,0.0,17.0,0.0,5.0,0.0,0.0,5.0,29.48,1.457,139.0,42.0,85.0,97.36099999999999,347.775,15.0,4.5,131.0,2.37,2.0,3.0,10.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,26.87,0.7285,101.5,63,4.7371828792103825,4,34.128246298608346
