,task_id,unit_cell_formula,band_gap,nelements,spacegroup.number,spacegroup.crystal_system,nsites,volume,structure.lattice,density,e_above_hull,magnetic_type,total_magnetization,kL
13,mp-30148,"{'B': 2.0, 'C': 4.0, 'N': 2.0}",2.1098999999999997,3,17,orthorhombic,8,47.44076552588578,"{'matrix': [[3.60175, 0.0, 0.0], [0.0, 3.607643, 0.0], [0.0, 0.0, 3.651023]], 'a': 3.60175, 'b': 3.607643, 'c': 3.651023, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 47.44076552588578}",3.4189681649775543,0.5420403050000022,NM,0.0001594,119.645
14,mp-8062,"{'Si': 1.0, 'C': 1.0}",1.5936000000000003,2,216,cubic,2,21.0005877839547,"{'matrix': [[0.0, 2.18978, 2.18978], [2.18978, 0.0, 2.18978], [2.18978, 2.18978, 0.0]], 'a': 3.096816574613356, 'b': 3.096816574613356, 'c': 3.096816574613356, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 21.0005877839547}",3.1704496658459114,0.0011095605000006614,NM,0.0014896,113.193
15,mp-1330,"{'Al': 1.0, 'N': 1.0}",4.5541,2,225,cubic,2,16.842812163752075,"{'matrix': [[0.0, 2.034518, 2.034518], [2.034518, 0.0, 2.034518], [2.034518, 2.034518, 0.0]], 'a': 2.877242948492184, 'b': 2.877242948492184, 'c': 2.877242948492184, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 16.842812163752075}",4.041045569153921,0.17200263750000033,NM,0.00051,106.722
16,mp-1479,"{'B': 1.0, 'P': 1.0}",1.4661999999999997,2,216,cubic,2,23.499690767363862,"{'matrix': [[0.0, 2.273408, 2.273408], [2.273408, 0.0, 2.273408], [2.273408, 2.273408, 0.0]], 'a': 3.215084426407493, 'b': 3.215084426407493, 'c': 3.215084426407493, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 23.499690767363862}",2.9526018183160376,0.0,NM,0.0001155,105.321
17,mp-616440,{'C': 16.0},4.3858999999999995,1,194,hexagonal,16,91.30821286252021,"{'matrix': [[1.261626, -2.1852, 0.0], [1.261626, 2.1852, 0.0], [0.0, 0.0, 16.559912]], 'a': 2.5232517123497606, 'b': 2.5232517123497606, 'c': 16.559912, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999245783255, 'volume': 91.30821286252021}",3.4948420856278513,0.14115684875000056,NM,1.166875e-05,104.828
18,mp-1190171,{'C': 16.0},4.328199999999999,1,62,orthorhombic,16,95.3223504717073,"{'matrix': [[2.526018, 0.0, 0.0], [0.0, 4.159595, 0.0], [0.0, 0.0, 9.072088]], 'a': 2.526018, 'b': 4.159595, 'c': 9.072088, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 95.3223504717073}",3.3476701266416686,0.2907853143750003,NM,8.210625e-05,91.6602
19,mp-571653,"{'C': 3.0, 'N': 4.0}",2.8148,2,215,cubic,7,41.30566021718049,"{'matrix': [[3.456765, 0.0, 0.0], [0.0, 3.456765, 0.0], [0.0, 0.0, 3.456765]], 'a': 3.456765, 'b': 3.456765, 'c': 3.456765, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 41.30566021718049}",3.700882616921342,0.49731041999999626,NM,0.0023491,89.9282
20,mp-1778,"{'Be': 1.0, 'O': 1.0}",6.9752,2,216,cubic,2,13.980552130110983,"{'matrix': [[0.0, 1.912045, 1.912045], [1.912045, 0.0, 1.912045], [1.912045, 1.912045, 0.0]], 'a': 2.7040399708676643, 'b': 2.7040399708676643, 'c': 2.7040399708676643, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 13.980552130110983}",2.9707488403850077,0.006578127500000086,NM,0.0,82.7172
21,mp-984,"{'B': 2.0, 'N': 2.0}",4.4938,2,194,hexagonal,4,42.13260173230655,"{'matrix': [[1.256214, -2.175827, 0.0], [1.256214, 2.175827, 0.0], [0.0, 0.0, 7.707265]], 'a': 2.5124284562400976, 'b': 2.5124284562400976, 'c': 7.707265, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.00001201411364, 'volume': 42.13260173230655}",1.956240948754851,0.0,NM,0.0002662,81.9493
22,mp-604884,"{'B': 2.0, 'N': 2.0}",4.422000000000001,2,187,hexagonal,4,38.72898005245582,"{'matrix': [[1.25649, -2.176304, 0.0], [1.25649, 2.176304, 0.0], [0.0, 0.0, 7.081536]], 'a': 2.512979550357702, 'b': 2.512979550357702, 'c': 7.081536, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99998816222129, 'volume': 38.72898005245582}",2.128161409742348,0.004138514999999288,NM,9.95e-06,80.1051
