,MagpieData minimum Number,MagpieData minimum MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData minimum MeltingT,MagpieData minimum Column,MagpieData minimum Row,MagpieData minimum CovalentRadius,MagpieData minimum Electronegativity,MagpieData minimum NsValence,MagpieData minimum NpValence,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NsUnfilled,MagpieData minimum NpUnfilled,MagpieData minimum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData minimum GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum Number,MagpieData maximum MendeleevNumber,MagpieData maximum AtomicWeight,MagpieData maximum MeltingT,MagpieData maximum Column,MagpieData maximum Row,MagpieData maximum CovalentRadius,MagpieData maximum Electronegativity,MagpieData maximum NsValence,MagpieData maximum NpValence,MagpieData maximum NdValence,MagpieData maximum NfValence,MagpieData maximum NValence,MagpieData maximum NsUnfilled,MagpieData maximum NpUnfilled,MagpieData maximum NdUnfilled,MagpieData maximum NfUnfilled,MagpieData maximum NUnfilled,MagpieData maximum GSvolume_pa,MagpieData maximum GSbandgap,MagpieData maximum SpaceGroupNumber,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,space group,density,nsites,vpa
42,6.0,44.0,12.0107,2128.0,4.0,2.0,76.0,1.33,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.64,0.0,194.0,40.0,77.0,91.224,3823.0,14.0,5.0,175.0,2.55,2.0,2.0,2.0,0.0,4.0,0.0,4.0,8.0,0.0,8.0,23.195,4.496,194.0,23.0,60.5,51.61735,2975.5,9.0,3.5,125.5,1.94,2.0,1.0,1.0,0.0,4.0,0.0,2.0,4.0,0.0,6.0,14.4175,2.248,194.0,225,6.502964049523044,2,13.18054744523031
43,32.0,79.0,72.64,1211.4,14.0,4.0,120.0,2.01,2.0,2.0,10.0,0.0,14.0,0.0,4.0,4.0,23.005,0.383,225.0,32.0,79.0,72.64,1211.4,14.0,4.0,120.0,2.01,2.0,2.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,23.005,0.383,225.0,32.0,79.0,72.64,1211.4,14.0,4.0,120.0,2.01,2.0,2.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,23.005,0.383,225.0,227,5.041970034757574,2,23.923497554785385
44,8.0,68.0,15.9994,54.8,2.0,2.0,66.0,1.31,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.105,0.0,12.0,12.0,87.0,24.305,923.0,16.0,3.0,141.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,22.89,0.0,194.0,10.0,77.5,20.1522,488.9,9.0,2.5,103.5,2.375,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,15.9975,0.0,103.0,225,3.471430968092349,2,9.63968913267075
45,8.0,69.0,15.9994,54.8,12.0,2.0,66.0,1.65,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.105,0.0,12.0,30.0,87.0,65.38,692.68,16.0,4.0,122.0,3.44,2.0,4.0,10.0,0.0,12.0,0.0,2.0,0.0,0.0,2.0,13.96,0.0,194.0,19.0,78.0,40.689699999999995,373.73999999999995,14.0,3.0,94.0,2.545,2.0,2.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,11.5325,0.0,103.0,186,5.437864583480136,4,12.429679562090667
46,13.0,73.0,26.9815386,903.78,13.0,3.0,121.0,1.61,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,16.48,0.0,166.0,51.0,85.0,121.76,933.47,15.0,5.0,139.0,2.05,2.0,3.0,10.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,31.56,0.0,225.0,32.0,79.0,74.3707693,918.625,14.0,4.0,130.0,1.83,2.0,2.0,5.0,0.0,9.0,0.0,4.0,0.0,0.0,4.0,24.02,0.0,195.5,216,4.078412269278146,2,30.280305099612676
47,4.0,67.0,9.012182,1560.0,2.0,2.0,76.0,1.57,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.64,0.0,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,96.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,7.89,4.496,194.0,4.666666666666667,70.33333333333333,10.011688,2314.3333333333335,6.0,2.0,89.33333333333333,1.8966666666666665,2.0,0.6666666666666666,0.0,0.0,2.6666666666666665,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,7.14,1.4986666666666668,194.0,225,2.4612616144131447,3,6.754584295003675
48,16.0,69.0,32.065,388.36,12.0,3.0,105.0,1.65,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.96,0.0,70.0,30.0,88.0,65.38,692.68,16.0,4.0,122.0,2.58,2.0,4.0,10.0,0.0,12.0,0.0,2.0,0.0,0.0,2.0,25.786875,2.202,194.0,23.0,78.5,48.7225,540.52,14.0,3.5,113.5,2.115,2.0,2.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,19.8734375,1.101,132.0,216,3.9989302156636066,2,20.237835652116832
49,4.0,67.0,9.012182,54.8,2.0,2.0,66.0,1.57,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.89,0.0,12.0,8.0,87.0,15.9994,1560.0,16.0,2.0,96.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,194.0,6.0,77.0,12.505790999999999,807.4,9.0,2.0,81.0,2.505,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,8.4975,0.0,103.0,216,2.9707488403850077,2,6.990276065055491
50,31.0,74.0,69.723,302.91,13.0,4.0,119.0,1.81,2.0,1.0,10.0,0.0,13.0,0.0,3.0,3.0,18.8575,0.0,64.0,33.0,84.0,74.9216,1090.0,15.0,4.0,122.0,2.18,2.0,3.0,10.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,22.175,0.0,166.0,32.0,79.0,72.3223,696.455,14.0,4.0,120.5,1.995,2.0,2.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,20.51625,0.0,115.0,216,5.053200624084066,2,23.765928462049377
51,32.0,70.0,72.64,594.22,12.0,4.0,119.0,1.69,2.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,19.495,0.0,166.0,48.0,84.0,112.411,1211.4,15.0,5.0,144.0,2.18,2.0,3.0,10.0,0.0,15.0,0.0,4.0,0.0,0.0,4.0,23.005,0.383,225.0,36.5,79.25,83.72354999999999,996.405,14.0,4.25,125.5,2.015,2.0,2.0,10.0,0.0,14.0,0.0,2.5,0.0,0.0,2.5,21.7125,0.09575,187.75,122,5.265794832921725,8,26.401755096922326
